item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>price,item>>sku,item>>title,item>>url,"item>>Вес, кг",item>>Высота (см),item>>Высота товара в индивидуальной упаковке (см),item>>Гарантия (лет),item>>Глубина товара в индивидуальной упаковке (см),item>>Диаметр трубы подключения (дюйм),item>>Количество секций,item>>Максимальное давление (бар),item>>Марка,item>>Межосевое расстояние (см),item>>Объем (л),item>>Основной материал,item>>Площадь нагрева (в м²),item>>Рабочее давление (бар),item>>Серия,item>>Страна производства,item>>Теплоотдача (Вт),item>>Тип подводки,item>>Цвет,item>>Ширина (см),item>>Ширина товара в индивидуальной упаковке (см)
EQUATION,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Equation - биметаллический радиатор водяного отопления, предназначенный для обогрева жилых помещений. Радиатор включает 12 секций. Биметаллический радиатор представляет собой конструкцию, выполненную из стальных труб, залитых под высоким давлением высококачественным алюминиевым сплавом. Благодаря подобной конструкции в этих радиаторах удачно сочетаются прочностные характеристики и высокий номинальный тепловой поток. Биметаллические радиаторы отопления обладают повышенной прочностью и способны выдерживать большие перепады давления. Надежность и эффективность биметаллических радиаторов отопления обеспечивают безопасность и долгий срок службы. Рекомендованы к установке в квартире. Радиаторы Equation – это современное решение для создания комфортного микроклимата в Вашем доме. Произведено на заводе RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/18360741.jpg",Доступно для заказа,13644.00,18360741,Радиатор Equation 500/100 12 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-equation-500-100-12-sekciy-bokovoe-podklyuchenie-bimetall-18360741/,21.78,57.0,10.7,15,96,"1""",12,30.0,EQUATION,500,1.8,Сталь / алюминий,24.0,20.0,,Россия,2376,Боковой,Белый,96.0,59
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Радиатор EQUATION биметаллический двухсторонний можно применять как при строительстве новых, так и при модернизации существующих систем отопления. Эти радиаторы отлично подойдут для помещений с панорамными окнами или витринным остеклением, где очень важен эстетичный внешний вид обеих сторон радиатора. Двухсторонняя конструкция — это не только универсальность и практичность, но и интересный дизайн и новый облик прибора, который создает уют и дает тепло вашему дому.ПреимуществаСекция радиатора состоит из стальной трубы, залитой под высоким давлением высокопрочным алюминиевым сплавом.Марка стали – «СЕВЕРКОР ЮНИ». В ее микроструктуре отсутствуют Коррозионно-Активные Неметаллические Включения (КАНВ), благодаря чему эта сталь обладает высокими антикоррозионными свойствами.Герметичность межсекционного стыка радиатора EQUATION достигается за счет образования замкового соединения. На торцах секций отфрезерованы проточки, в которые при сборке радиатора устанавливают прокладку из EPDM. Прокладка надежно фиксируется и гарантировано защищена слоем металла от выдавливания.Резьба в радиаторе EQUATION биметаллический выполняется и контролируется в строгом соответствии с ГОСТ 6357-81. Качественная и чистая резьба, без наплывов краски и дефектов - важная составляющая надежности прибора.Радиаторы идеально окрашены со всех сторон. Стандартный цвет - RAL 9016. Белоснежно белый цвет. Высококачественная порошковая эмаль наносится равномерно, без подтеков и наплывов и в течение всего срока службы придает безупречный внешний вид прибору.Радиаторы EQUATION биметаллический двухсторонний представлены тремя моделями с межосевыми расстояниями 500, 350 и 200 мм. Они имеют высокую теплоотдачу и могут применяться в системах отопления с любым типом теплоносителя: вода, антифриз или масло. Высокая теплоотдача достигается за счет продуманной симметричной конструкции радиатора, а также за счет большой металлоёмкости изделия и увеличенной площади поверхности боковых теплопередающих ребер.Имеют модификацию VENTIL с нижним подключением, под стандартный узел с межосевым расстоянием 50 мм.В Радиаторе EQUATION биметаллический двухсторонний с нижним подключением предустановлены: заглушки, кран Маевского и термостатический клапан. Для его подключения к системе отопления рекомендуем приобрести: двойной узел нижнего подключения прямой или угловой с внутренней резьбой на ¾ дюйма типа - евроконус. Для удобства регулировки температуры в помещении рекомендуем приобрести автоматический терморегулятор Для бокового подключения радиатора EQUATION биметаллический двухсторонний к системе отопления, в зависимости от диаметра подводных труб необходимо приобрести монтажный комплект 1""х3/4"" или 1""х1/2"" дюймаОбратите внимание. В радиаторе EQUATION биметаллический двухсторонний зазор между секциями составляет от 3,5 до 4,2 мм. Поэтому для настенного крепления прибора рекомендуем вам подобрать кронштейны толщиной не более 3,5 мм. Например, настенные регулируемые кронштейны RIFAR.Крепеж радиатора EQUATION биметаллический двухсторонний к полу удобно производить с помощью напольных регулируемых кронштейнов RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/89106831.jpg",Доступно для заказа,13680.00,89106831,Радиатор Equation 500/90 12 секций двухсторонний биметалл,https://leroymerlin.ru/product/radiator-equation-500-90-12-sekciy-dvuhstoronniy-bimetall-89106831/,18.89,56.3,57.3,20,10.0,"1""",12,,EQUATION,500,2.4,Сталь / алюминий,21.0,20.0,Bimetal,Россия,2100,Боковой,Белый,96.0,97.0
EQUATION,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Equation - биметаллический радиатор водяного отопления, предназначенный для обогрева жилых помещений. Радиатор включает 6 секций. Биметаллический радиатор представляет собой конструкцию, выполненную из стальных труб, залитых под высоким давлением высококачественным алюминиевым сплавом. Благодаря подобной конструкции в этих радиаторах удачно сочетаются прочностные характеристики и высокий номинальный тепловой поток. Биметаллические радиаторы отопления обладают повышенной прочностью и способны выдерживать большие перепады давления. Надежность и эффективность биметаллических радиаторов отопления обеспечивают безопасность и долгий срок службы. Рекомендованы к установке в квартире. Радиаторы Equation – это современное решение для создания комфортного микроклимата в Вашем доме. Произведено на заводе RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/18360709.jpg",Доступно для заказа,6822.00,18360709,Радиатор Equation 500/100 6 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-equation-500-100-6-sekciy-bokovoe-podklyuchenie-bimetall-18360709/,11.125,57.0,10.5,15,58.7,"1""",6,30.0,EQUATION,500,1.2,Сталь / алюминий,12.0,20.0,,Россия,1830,Боковой,Белый,48.0,47.8
EQUATION,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Equation - биметаллический радиатор водяного отопления, предназначенный для обогрева жилых помещений. Радиатор включает 8 секций. Биметаллический радиатор представляет собой конструкцию, выполненную из стальных труб, залитых под высоким давлением высококачественным алюминиевым сплавом. Благодаря подобной конструкции в этих радиаторах удачно сочетаются прочностные характеристики и высокий номинальный тепловой поток. Биметаллические радиаторы отопления обладают повышенной прочностью и способны выдерживать большие перепады давления. Надежность и эффективность биметаллических радиаторов отопления обеспечивают безопасность и долгий срок службы. Рекомендованы к установке в квартире. Радиаторы Equation – это современное решение для создания комфортного микроклимата в Вашем доме. Произведено на заводе RIFAR","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/18360725.jpg",,9096.00,18360725,Радиатор Equation 500/100 8 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-equation-500-100-8-sekciy-bokovoe-podklyuchenie-bimetall-18360725/,14.698,57.0,10.6,15,64.2,"1""",8,30.0,EQUATION,500,1.0,Сталь / алюминий,16.0,20.0,,Россия,990,Боковой,Белый,64.0,59.2
ROYAL THERMO,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический дизайн-радиатор для любых систем отопления с боковым подключениемАэродинамический дизайн BILINER ®Разработанный IPG Design Studio (Италия) совместно с экспертами НИИ Сантехники (Россия) аэродинамический дизайн BILINER позволил достичь революционной тепловой эффективности радиатора при компактных размерах.Повышенная мощность, технология POWERSHIFT ®Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.100% НАСТОЯЩИЙ БИМЕТАЛЛПрименение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).Oxsilan® 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатовOxsilan® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA®Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.Цветовые возможности COLORPLUSТри цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/81979197.jpg",Доступно для заказа,6552.00,81979197,Радиатор Royal Thermo BiLiner 500 6 секций Bianco Traffico боковое подключение биметалл,https://leroymerlin.ru/product/radiator-royal-thermo-biliner-500-6-sekciy-bianco-traffico-bokovoe-podklyuchenie-bimetall-81979197/,11.44,57.4,11.6,25,62.2,"1""",6,45.0,ROYAL THERMO,500,1.23,Сталь / алюминий,11.0,30.0,BIliner,Россия,1026,Боковой,Белый,48.0,50.4
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Скачать документы сертификацииРадиатор Equation 500/80/8 устанавливается в системах водяного отопления жилых зданий для обогрева помещений площадью до 12,9 м². Биметаллический корпус изготовлен из стали и алюминия. Цвет — белый. Размер радиатора — 64 × 56,8 × 8 см.Изделие вмещает 1,44 л теплоносителя. Рабочее давление в системе отопления — 20 бар. Вид подключения радиатора — боковой. Монтаж производится трубами или фитингами с резьбой диаметром 1"". Страна изготовления — Россия, гарантия производителя — 20 лет.ОсобенностиМодель состоит из 8 секций, соединенных резьбовыми втулками с герметичными прокладками.Теплоотдача радиатора составляет 1285 Вт.Особая форма секций обеспечивает хорошую циркуляцию воздуха в помещении, что позволяет прогревать его быстро и равномерно.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/86565619.jpg",Доступно для заказа,7028.00,86565619,"Радиатор Equation 500/80/8, 8 секций, боковое подключение, биметалл",https://leroymerlin.ru/product/radiator-equation-500-80-8-86565619/,13.316,56.8,9.6,20,66.5,"1""",8,,EQUATION,500,1.44,Сталь / алюминий,12.9,20.0,Bimetal,Россия,1288,Боковой,Белый,64.0,60.2
ROYAL THERMO,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический дизайн-радиатор для любых систем отопления с боковым подключениемАэродинамический дизайн BILINER ®Разработанный IPG Design Studio (Италия) совместно с экспертами НИИ Сантехники (Россия) аэродинамический дизайн BILINER позволил достичь революционной тепловой эффективности радиатора при компактных размерах.Повышенная мощность, технология POWERSHIFT ®Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.100% НАСТОЯЩИЙ БИМЕТАЛЛПрименение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).Oxsilan® 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатовOxsilan® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA®Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.Цветовые возможности COLORPLUSТри цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/81979200.jpg",Доступно для заказа,13104.00,81979200,Радиатор Royal Thermo BiLiner 500 12 секций Bianco Traffico боковое подключение биметалл,https://leroymerlin.ru/product/radiator-royal-thermo-biliner-500-12-sekciy-bianco-traffico-bokovoe-podklyuchenie-bimetall-81979200/,22.2,57.4,11.4,25,99.3,"1""",12,45.0,ROYAL THERMO,500,2.46,Сталь / алюминий,22.0,30.0,BIliner,Россия,2052,Боковой,Белый,96.0,63
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Скачать документы сертификацииРадиатор Equation 500/80/6 устанавливается в системах водяного отопления жилых зданий для обогрева помещений площадью до 9,6 м². Биметаллический корпус изготовлен из стали и алюминия. Цвет — белый. Размер радиатора — 48 × 56,8 × 8 см.Изделие вмещает 1,08 л теплоносителя. Рабочее давление в системе отопления — 20 бар. Вид подключения радиатора — боковой. Монтаж производится трубами или фитингами с резьбой диаметром 1"". Страна изготовления — Россия, гарантия производителя — 20 лет.ОсобенностиМодель состоит из 6 секций, соединенных резьбовыми втулками с герметичными прокладками.Теплоотдача радиатора составляет 964 Вт.Особая форма секций обеспечивает хорошую циркуляцию воздуха в помещении, что позволяет прогревать его быстро и равномерно.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/86565618.jpg",Доступно для заказа,5271.00,86565618,"Радиатор Equation 500/80/6, 6 секций, боковое подключение, биметалл",https://leroymerlin.ru/product/radiator-equation-500-80-6-86565618/,10.085,56.8,9.6,20,61.2,"1""",6,,EQUATION,500,1.08,Сталь / алюминий,9.6,20.0,Bimetal,Россия,966,Боковой,Белый,48.0,50.5
RIFAR,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический радиатор MONOLIT – это новый, запатентованный отопительный прибор компании «РИФАР» с особо высокими техническими характеристиками, отвечающими самым суровым условиям эксплуатации. Внутри радиатора теплоноситель движется по стальным каналам, соединенным с помощью уникальной технологии сварки в единую неразборную конструкцию. Благодаря этому в радиаторе MONOLIT в принципе отсутствуют участки, потенциально опасные для возникновения протечек. Радиаторы MONOLIT обладают исключительной надежностью, а также высокой теплоотдачей, которая достигается за счет развитой геометрии теплопередающих поверхностей из алюминиевого сплава.ПреимуществаГарантия производителя – 25 лет.Эффективность поддержания комфортного температурного режима.Высокая стойкость к коррозии. .Отсутствие межсекционных стыков.Индифферентность к типу теплоносителя и качеству его подготовки в системах индивидуального и коллективного отопления.Возможность использования радиатора при высокой (до 135 °С) температуре теплоносителя.Высокая прочность конструкции. Рабочее давление теплоносителя – до 30 атм; испытательное давление – 45 атм.Возможность применения в помещениях различного назначения, в том числе в медицинских учреждениях, в детских дошкольных учреждениях и т. д.Легкость монтажа. Нет необходимости установки переходников с левой и правой резьбой. Стандартные резьбовые соединения G1/2” или G3/4” являются неотъемлемой частью конструкции радиатора.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/12876376.jpg",Доступно для заказа,5472.00,12876376,Радиатор Rifar Monolit 500 4 секции боковое подключение биметалл,https://leroymerlin.ru/product/radiator-rifar-monolit-500-4-sekcii-bokovoe-podklyuchenie-bimetall-12876376/,8.588,57.7,10.6,25,60.6,"3/4""",4,45.0,RIFAR,500,0.8,Сталь / алюминий,8.0,30.0,Monolit,Россия,784,Боковой,Белый,32.0,33
MONLAN,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический радиатор торговой марки Monlan имеет шесть секций, способен вмещать объем воды 10,8 л. Прибор предназначен для систем водяного отопления, подключается к трубам диаметром 1 дюйм. Межосевое расстояние составляет 500 мм, глубина изделия – 80 мм. Конструкция состоит из стальных и алюминиевых элементов. Радиатор выдерживает давление до 30 атм. Преимущества: - эффективно выполняет свои функции благодаря высокой теплоотдаче; - конструкция прибора подходит для всех типов водяных отопительных систем; - внешний вид изделия эстетичен, не требует дополнительного декоративного оформления. «Леруа Мерлен» предлагает купить биметаллические радиаторы Monlan с различным количеством секций по оптимальной цене.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/13276647.jpg",,4104.00,13276647,Радиатор Monlan 500/80 6 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-monlan-500-80-6-sekciy-bokovoe-podklyuchenie-bimetall-13276647/,8.147,55.7,9.1,15,61.7,"1""",6,38.0,MONLAN,500,1.08,Сталь / алюминий,7.0,25.0,Bimetal,Китай,774,Боковой,Белый,7.6,52.1
RIFAR,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Радиатор Rifar Supremo – неразборная монолитная конструкция из стальных труб с толщиной стенки как у водопроводных труб, соединенных контактно-стыковой сваркой. В радиаторе модели Supremo отсутствуют ниппельные соединения. Благодаря этому в радиаторе Supremo в принципе отсутствуют участки, потенциально опасные для возникновения протечек. Двухтрубный вертикальный канал позволяет улучшить циркуляцию теплоносителя и повысить эффективность теплоотдачи. При производстве радиаторов компания РИФАР использует стальные трубы собственного изготовления из качественной конструкционной стали, обеспечивающие высокую коррозионную стойкость выпускаемых приборов и их высокие эксплуатационные характеристики.Радиатор Supremo подходит для любых видов подключений. Он может быть установлен по всем стандартным схемам. При этом можно использовать стандартные узлы нижнего подключения с межосевым расстоянием 50 мм. В радиаторе Supremo допускается использование различных теплоносителей, таких как вода, антифризы или масло.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/82560810.jpg",Доступно для заказа,8512.00,82560810,Радиатор Rifar Supremo 500 4 секции боковое подключение биметалл цвет серый,https://leroymerlin.ru/product/radiator-rifar-supremo-500-4-sekcii-bokovoe-podklyuchenie-bimetall-cvet-seryy-82560810/,9.59,57.5,10.4,25,61.7,"3/4""",4,45.0,RIFAR,500,0.88,Сталь / алюминий,8.0,30.0,Supremo,Россия,808,Боковой,Серый,32.0,34.6
MONLAN,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический радиатор торговой марки Monlan предназначен для организации систем водяного отопления. Основная конструкция изготовлена из стали, наружные пластины – из алюминия. Изделие включает 8 секций с межосевым расстоянием 500 мм и глубиной 80 мм. Радиатор способен выдерживать рабочее давление в системе до 30 атм. Отопительный прибор подсоединяется к трубам диаметром 1 дюйм. Преимущества: - радиатор подходит для любых видов отопительных систем; - его конструкция способна выдерживать высокое давление; - изделие имеет эстетичный дизайн. В «Леруа Мерлен» можно купить биметаллические радиаторы Monlan по конкурентной цене.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/13276815.jpg",,5472.00,13276815,Радиатор Monlan 500/80 8 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-monlan-500-80-8-sekciy-bokovoe-podklyuchenie-bimetall-13276815/,10.702,55.7,8.9,15,68.2,"1""",8,38.0,MONLAN,500,1.52,Сталь / алюминий,10.0,25.0,Bimetal,Китай,1032,Боковой,Белый,7.6,59.2
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Скачать документы сертификацииРадиатор Equation 500/80/10 устанавливается в системах водяного отопления жилых зданий для обогрева помещений площадью до 16,1 м². Биметаллический корпус изготовлен из стали и алюминия. Цвет — белый. Размер радиатора — 80 × 56,8 × 8 см.Изделие вмещает 1,8 л теплоносителя. Рабочее давление в системе отопления — 20 бар. Вид подключения радиатора — боковой. Монтаж производится трубами или фитингами с резьбой диаметром 1"". Страна изготовления — Россия, гарантия производителя — 20 лет.ОсобенностиМодель состоит из 10 секций, соединенных резьбовыми втулками с герметичными прокладками.Теплоотдача радиатора составляет 1607 Вт.Особая форма секций обеспечивает хорошую циркуляцию воздуха в помещении, что позволяет прогревать его быстро и равномерно.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/86565620.jpg",Доступно для заказа,8786.00,86565620,"Радиатор Equation 500/80/10, 10 секций, боковое подключение, биметалл",https://leroymerlin.ru/product/radiator-equation-500-80-10-86565620/,16.13,56.8,10.1,20,92.9,"1""",10,,EQUATION,500,1.8,Сталь / алюминий,16.1,20.0,Bimetal,Россия,1610,Боковой,Белый,80.0,59.8
ROYAL THERMO,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Биметаллический дизайн-радиатор для любых систем отопления с боковым подключениемАэродинамический дизайн BILINER ®Разработанный IPG Design Studio (Италия) совместно с экспертами НИИ Сантехники (Россия) аэродинамический дизайн BILINER позволил достичь революционной тепловой эффективности радиатора при компактных размерах.Повышенная мощность, технология POWERSHIFT ®Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.100% НАСТОЯЩИЙ БИМЕТАЛЛПрименение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).Oxsilan® 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатовOxsilan® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA®Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.Цветовые возможности COLORPLUSТри цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/81979196.jpg",Доступно для заказа,4368.00,81979196,Радиатор Royal Thermo BiLiner 500 4 секции Bianco Traffico боковое подключение биметалл,https://leroymerlin.ru/product/radiator-royal-thermo-biliner-500-4-sekcii-bianco-traffico-bokovoe-podklyuchenie-bimetall-81979196/,7.591,57.4,64.5,25,11.9,"1""",4,45.0,ROYAL THERMO,500,0.82,Сталь / алюминий,8.0,30.0,BIliner,Россия,684,Боковой,Белый,32.0,35.9
ROYAL THERMO,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический дизайн-радиатор для любых систем отопления с боковым подключениемАэродинамический дизайн BILINER ®Разработанный IPG Design Studio (Италия) совместно с экспертами НИИ Сантехники (Россия) аэродинамический дизайн BILINER позволил достичь революционной тепловой эффективности радиатора при компактных размерах.Повышенная мощность, технология POWERSHIFT ®Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.100% НАСТОЯЩИЙ БИМЕТАЛЛПрименение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).Oxsilan® 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатовOxsilan® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA®Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.Цветовые возможности COLORPLUSТри цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/81979187.jpg",Доступно для заказа,6780.00,81979187,Радиатор Royal Thermo BiLiner 500 6 секций Noir Sable боковое подключение биметалл,https://leroymerlin.ru/product/radiator-royal-thermo-biliner-500-6-sekciy-noir-sable-bokovoe-podklyuchenie-bimetall-81979187/,11.379,57.4,11.6,25,63.7,"1""",6,45.0,ROYAL THERMO,500,1.23,Сталь / алюминий,11.0,30.0,BIliner,Россия,1026,Боковой,Черный,48.0,50.9
MONLAN,"Электротовары,Электрический обогрев дома и квартиры,Товары для отопления квартиры и дачи","Биметаллический радиатор торговой марки Monlan имеет десять секций панельного типа и может вмещать 18 л теплоносителя. Прибор предназначен для организации систем отопления под давлением, способен выдерживать до 30 атм. Радиатор подсоединяется к трубам диаметром 1 дюйм. Изделие имеет оптимальные размеры – 822х570х80 мм, расстояние между осями составляет 500 мм. Элементы конструкции, внутри которых циркулирует теплоноситель, изготовлены из стали, внешние пластины – из алюминия. Преимущества: - высококачественная сталь, из которой изготовлена основная конструкция прибора, обеспечивает антикоррозийные свойства, алюминиевые пластины – высокую теплоотдачу; - срок службы биметаллического радиатора может достигать 25 лет; - однородная поверхность внутренних каналов способствует беспрепятственному перемещению теплоносителя. «Леруа Мерлен» предлагает купить эстетичные и надежные биметаллические радиаторы Monlan по конкурентной цене.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/13276831.jpg",,6840.00,13276831,Радиатор Monlan 500/80 10 секций боковое подключение биметалл,https://leroymerlin.ru/product/radiator-monlan-500-80-10-sekciy-bokovoe-podklyuchenie-bimetall-13276831/,13.197,55.7,8.9,15,84,"1""",10,38.0,MONLAN,500,1.7,Сталь / алюминий,13.0,25.0,Bimetal,Китай,1290,Боковой,Белый,7.6,60
EQUATION,"Водоснабжение,Радиаторы отопления,Радиаторы биметаллические","Скачать документы сертификацииРадиатор Equation 500/80/12 устанавливается в системах водяного отопления жилых зданий для обогрева помещений площадью до 19,3 м². Биметаллический корпус изготовлен из стали и алюминия. Цвет — белый. Размер радиатора — 96 × 56,8 × 8 см.Изделие вмещает 2,16 л теплоносителя. Рабочее давление в системе отопления — 20 бар. Вид подключения радиатора — боковой. Монтаж производится трубами или фитингами с резьбой диаметром 1"". Страна изготовления — Россия, гарантия производителя — 20 лет.ОсобенностиМодель состоит из 12 секций, соединенных резьбовыми втулками с герметичными прокладками.Теплоотдача радиатора составляет 1928 Вт.Особая форма секций обеспечивает хорошую циркуляцию воздуха в помещении, что позволяет прогревать его быстро и равномерно.","https://res.cloudinary.com/lmru/image/upload/b_white,c_pad,d_photoiscoming.png,f_auto,h_2000,q_auto,w_2000/v1/LMCode/86565621.jpg",Доступно для заказа,10535.00,86565621,"Радиатор Equation 500/80/12, 12 секций, боковое подключение, биметалл",https://leroymerlin.ru/product/radiator-equation-500-80-12-86565621/,19.559,56.8,9.4,20,98.9,"1""",12,,EQUATION,500,2.16,Сталь / алюминий,19.3,20.0,Bimetal,Россия,1932,Боковой,Белый,96.0,60.5
