item>>brand,item>>categories,item>>color,item>>description,item>>gender,item>>image,item>>instock,item>>name,item>>price,item>>rating,item>>seller,item>>sku,item>>total_reviews,item>>url
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",зеленый,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер с начесом. Они удобны, не сковывают движения и согреют в непогоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/168/957/533/911/916/58/600005520023b0.jpeg,yes,Спортивные брюки женские ТВОЕ 85955 цв. зеленый р.XS,1709,0,ТВОЕ,600005520023,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-85955-cv-zelenyy-rxs-600005520023/
4F,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские 4F",темно-розовый,"Женские спортивные штаны из мягкой трикотажной ткани с высоким содержанием хлопка обеспечивают комфорт во время повседневной деятельности. ПРЕИМУЩЕСТВА: интерьер без подкладки, 2 открытых боковых кармана, манжеты на ногах в рубчик, мягкая ткань с высоким содержанием хлопка обеспечивает комфорт, покрытие против скатывания для большей прочности, эластичный пояс с внешней регулировкой шнурка позволяет подобрать удобную посадку.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/849/713/751/111/164/8/100029720594b0.jpg,yes,Спортивные брюки женские 4F NOSH4-SPDD350 розовые M,3890,0,SportPoint,100029720594,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-4f-nosh4-spdd350-rozovye-m-100029720594/
Adidas,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Adidas",розовый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-19/865/373/412/211/723/100030070306b0.jpg,yes,Спортивные брюки женские Adidas GN2851 розовые 38 RU,8390,0,SportPoint,100030070306,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-adidas-gn2851-rozovye-38-100030070306/
Adidas,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Adidas",розовый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/179/195/310/621/422/54/100030593920b0.jpg,yes,Спортивные брюки женские Adidas HF7515 розовые 38 DE,7999,0,SportPoint,100030593920,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-adidas-hf7515-rozovye-38-de-100030593920/
MOM №1,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские MOM №1",индиго,Женские узкие брюки с манжетами внизу. Высокая посадка. Удобны для ношения дома и на улице.Уход за вещами: бережная стирка при 30 градусах; гладить при t не более 150С; деликатная химическая чистка в щадящем режиме; отбеливание запрещено,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/183/308/619/212/281/132/600003032378b0.jpeg,yes,Спортивные брюки женские MOM №1 MOM-0137 синие L,1450,0,ИП Верещака Наталья Владимировна,600003032378,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-mom-1-mom-0137-sinie-l-600003032378/
MOM №1,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские MOM №1",серый меланж,"Женские узкие брюки-джоггеры с манжетами внизу. Изготовлены из трикотажного футера без начеса. Высокая посадка до талии, глубокие боковые карманы. В трикотажном поясе вставлена резинка и брендированный шнурок. На правой штанине - наклейка #MOM_№1. Удобны для ношения как дома, так и на улице.Уход за вещами: бережная стирка при 30 градусах; гладить при t не более 150С; деликатная химическая чистка в щадящем режиме; отбеливание запрещено",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/197/453/321/612/516/4/600003118580b0.jpeg,yes,Спортивные брюки женские MOM №1 MOM-0137 серые M,1550,0,ИП Верещака Наталья Владимировна,600003118580,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-mom-1-mom-0137-serye-m-600003118580/
BARMARISKA,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские BARMARISKA",розовый,"Брюки женские с шевроном от бренда Barmariska. Модель выполнена из мягкого хлопкового футера, свободного прямого кроя. Карманы на передних брючинах с отрезным бочком. Дизайн брюк дополнен брендированной холщовой нашивкой. Притачной пояс с завязками на шнурках. Манжеты выполнены из основного материала. Цвет изделия может незначительно отличаться от цвета на фото. Уход за изделием: бережная стирка при 30 градусах, барабанная сушка запрещена, отбеливание запрещено. Параметры брюк - длина по внешнему шву/ширина по талии/ширина по линии бедер: размер XS(36-38) -103,5 см/28,0 см/49,0 см; размер S(40-42) -105,0 см/31,0 см/52,0 см; размер M(44-46) - 107,0 см/ 34,5 см/55,5 см; размер L(48-50) - 108,5 см/37,5 см/59,0 см; размер XL(52-54) - 110,0 см/ 41,0 см/62,5 см; размер 2XL(56-58) - 112,0 см/ 45,0 см/66,5 см; размер 3XL(60-62) - 113,0 см/ 49,0 см/69,5 см; размер 4XL(64-66) - 115,0 см/ 53,0 см/73,0 см. Допустимое отклонение от размерной сетки +/- 1-2 см. Параметры модели - рост 172 см, объем груди/талии/бедер: 80/60/89 см, размер на модели - S (40-42). Модель Family Look (Фемили лук), из товаров капсулы можно составить семейный и парный образ. Капсульную коллекцию можно найти, набрав в поисковике слова ""Поп-Арт BARMARISKA""",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/110/334/239/632/191/1/600003316092b0.jpeg,yes,Спортивные брюки женские BARMARISKA с шевроном розовые 40-42 RU,1955,5,barmariska,600003316092,1,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-barmariska-bzh-b0218-rozovye-40-42-600003316092/
на базар,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки на базар",черный,"Стильные брюки выполнены из роскошного трикотажа. Уютная модель декорирована яркими серебряными лампасами. Эффектный дизайн в сочетании белого оттенка с серебром создаёт спокойный образ. Невероятно мягкая и приятная ткань из 76% хлопка позволяет ощутить комфорт и практичность. Брюки оснащены вместительными карманами. Брюки выполнены из премиального футера, изнаночная сторона - хлопковый ворс ""French Terry"". Материал не скатывается и не теряет формы. Совет стилиста: Хлопковые спортивные брюки станут любимыми в вашем гардеробе. Удобные и свободные, они подчеркнут все достоинства фигуры, обеспечивая при этом комфорт и не стесняя движений. Базовый цвет и контрастные лампасы создают модный образ. Брюки универсальны, сочетаются с любым вариантом верха (футболка, водолазка, свитер и т.п.).",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-15/140/395/682/914/19/600004642459b0.webp,yes,Брюки женские на базар 78-401 черные 44 RU,2250,0,на базар,600004642459,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-na-bazar-78-401-chernye-44-ru-600004642459/
ТВОЕ,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки ТВОЕ",темно-серый меланж,"Спортивные брюки изготовлены из мягкой, тактильно-приятной ткани.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/124/864/514/411/119/57/600004919074b0.jpeg,yes,Брюки женские ТВОЕ 86503 серые S,1614,0,ТВОЕ,600004919074,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-tvoe-86503-serye-s-600004919074/
ТВОЕ,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки ТВОЕ",черный,"Спортивные брюки изготовлены из мягкой, тактильно-приятной ткани.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/124/867/301/311/119/57/600004919082b0.jpeg,yes,Брюки женские ТВОЕ 85427 черные M,1457,0,ТВОЕ,600004919082,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-tvoe-85427-chernye-m-600004919082/
ТВОЕ,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки ТВОЕ",черный,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер 3-х нитка. Они удобны, не сковывают движения и комфортны в любую погоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-78/614/473/212/171/041/600005127074b0.jpeg,yes,Брюки женские ТВОЕ 83095 черные M,1999,0,ТВОЕ,600005127074,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-83095-chernye-m-600005127074/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",темно-бежевый,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер с начесом. Они удобны, не сковывают движения и согреют в непогоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/106/825/136/011/916/59/600005519990b0.jpeg,yes,Спортивные брюки женские ТВОЕ 85652 цв. бежевый р.XS,1619,0,ТВОЕ,600005519990,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-85652-cv-bezhevyy-rxs-600005519990/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",сиреневый,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер с начесом. Они удобны, не сковывают движения и согреют в непогоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/168/961/089/611/917/1/600005520039b0.jpeg,yes,Спортивные брюки женские ТВОЕ 85954 цв. фиолетовый р.M,1500,0,ТВОЕ,600005520039,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-85954-cv-fioletovyy-rm-600005520039/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",черный,"Повседневные легинсы с высокой талией являются базовым элементом гардероба на каждый день. Они удобны, не сковывают движения и совместимы с вещами разных стилевых направлений.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/169/044/312/211/917/4/600005520107b0.jpeg,yes,Спортивные брюки женские ТВОЕ 87196 цв. черный р.L,949,0,ТВОЕ,600005520107,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-87196-cv-chernyy-rl-600005520107/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",черный,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер с начесом. Они удобны, не сковывают движения и согреют в непогоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/169/064/685/411/917/6/600005520172b0.jpeg,yes,Спортивные брюки женские ТВОЕ 81643 цв. черный р.XL,1619,0,ТВОЕ,600005520172,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-81643-cv-chernyy-rxl-600005520172/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",черный,"Спортивные брюки изготовлены из мягкого, тактильно-приятного материала - футер 2-х нитка. Они удобны, не сковывают движения и комфортны в любую погоду.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/169/139/355/111/917/7/600005520214b0.jpeg,yes,Спортивные брюки женские ТВОЕ 83384 цв. черный р.L,1349,0,ТВОЕ,600005520214,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-83384-cv-chernyy-rl-600005520214/
Peche Monnaie,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Peche Monnaie",морская волна,"Cпортивные брюки от Торговой марки PECHE MONNAIE France - идеальный вариант в качестве комфортной и стильной одежды на каждый день. Незаменимы для занятий фитнесом, активным отдыхом или в поездках. Актуальный и современный ""Look"". Модель брюк полуприлегающая, зауживается к низу. Нижняя часть заканчивается манжетам. Широкий и удобный пояс на резинке. Боковые внутренние карманы. Брюки созданы из плотного и трикотажного материала - футер. Основной состав ткани -натуральный хлопок, обеспечивающий великолепные ""дышащие"" свойства и естественный теплообмен. А небольшое добавление лайкры не позволяет материалу вытягиваться и деформироваться в наиболее ""активных"" зонах движения. Стиль, комфорт и свобода в движении!",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-13/477/373/356/131/4/100024267708b0.jpg,yes,Спортивные брюки женские Peche Monnaie 1729 синие M,2985,0,Evateks,100024267708,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-peche-monnaie-easy-and-free-sinie-m-100024267708/
ТВОЕ,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские ТВОЕ",светло-серый,"Спортивные брюки изготовлены из мягкой, тактильно-приятной ткани.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/191/968/806/723/201/7/600005609533b0.jpeg,yes,Спортивные брюки женские ТВОЕ 87251 серые M,1709,0,ТВОЕ,600005609533,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-tvoe-87251-serye-m-600005609533/
Jacqueline de Yong,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки Jacqueline de Yong",черный,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/1689641214/100026061272b0.jpg,yes,Брюки женские Jacqueline de Yong 15169006 черные 36 FR,1891,0,Ennergiia,100026061272,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-jacqueline-de-yong-15169006-chernye-36-fr-100026061272/
Adidas,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Adidas",серый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/14/24/65/67/56/10/8/100027379667b0.jpg,yes,Спортивные брюки женские Adidas CZ2928 серые XS,3791,0,Ennergiia,100027379667,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-adidas-cz2928-serye-xs-100027379667/
Vilatte,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки Vilatte",черный,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/228/366/164/416/104/2/100028046432b0.jpg,yes,Брюки женские Vilatte D38.000 черные 42 RU,3886,0,Ennergiia,100028046432,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-vilatte-d38000-chernye-42-100028046432/
A passion play,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские A passion play",синий,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/464/166/606/121/515/30/100027736589b0.jpg,yes,Спортивные брюки женские A passion play SQ64153 синие S,1500,0,5КармаNов,100027736589,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-a-passion-play-sq64153-siniy-s-100027736589/
4F,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские 4F",красный,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-14/145/314/681/227/114/6/100028283152b0.jpg,yes,Спортивные брюки женские 4F WOMEN'S KNITTED TROUSERS красные L,2872,0,SportPoint,100028283152,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-4f-womens-knitted-trousers-krasnye-l-100028283152/
4F,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские 4F",синий,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-14/145/276/241/227/114/6/100028283156b0.jpg,yes,Спортивные брюки женские 4F WOMEN'S KNITTED TROUSERS синие M,2872,4,SportPoint,100028283156,1,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-4f-womens-knitted-trousers-sinie-m-100028283156/
New Balance,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские New Balance",серый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-42/109/559/352/116/55/100028585435b0.jpg,yes,Спортивные брюки женские New Balance WP11505-LWD серые XS,8390,0,SportPoint,100028585435,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-new-balance-wp11505-lwd-serye-xs-100028585435/
Sela,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Sela",бежевый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-44/636/049/651/313/29/100028539734b0.jpg,yes,Спортивные брюки женские Sela 1804011517 бежевые 48 RU,2374,0,Ennergiia,100028539734,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-sela-1804011517-bezhevye-48-ru-100028539734/
Concept Club,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки Concept Club",белый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-15/967/953/825/251/833/100028601581b0.jpg,yes,Брюки женские Concept Club 10200460011 белые L,799,0,Concept Club,100028601581,0,https://sbermegamarket.ru/catalog/details/bryuki-zhenskie-concept-club-10200460011-belye-l-100028601581/
Ennergiia,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Ennergiia",розовый,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-51/300/948/772/222/6/100028825955b0.jpg,yes,Спортивные брюки женские Ennergiia En.ss21.w.05 розовые 46 RU,3221,0,Ennergiia,100028825955,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-ennergiia-enss21w05-rozovye-46-ru-100028825955/
Concept Club,"Одежда, обувь и аксессуары,Женская одежда,Женские брюки,Женские брюки Concept Club",голубой,,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-46/283/968/617/52/100029014399b0.jpg,yes,Брюки женские Concept Club 10200460009 голубые XS,899,0,Concept Club,100029014399,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-concept-club-10200460009-golubye-xs-100029014399/
PUMA,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские PUMA",черный,"Приобретите эту удобную базовую одежду от PUMA. Спортивные брюки Essentials - одна из последних моделей домашней одежды. Эта суперкомфортная базовая одежда, сделанная из хлопка от Better Cotton Initiative, незаменима для всех поклонников уличной одежды. Обычная посадка. Ребристый пояс с кулиской, регулируемый индивидуально. Карманы в боковых швах для удобного хранения ценностей. Ребристые манжеты. PUMA No. 1 логотип на правом бедре.",женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-14/505/483/679/241/618/100029384150b0.jpg,yes,Спортивные брюки женские PUMA 58683901 черные M,4990,0,SportPoint,100029384150,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-puma-58683901-chernye-m-100029384150/
Adidas,"Одежда, обувь и аксессуары,Спортивная одежда, обувь, аксессуары,Женская спортивная одежда,Спортивные брюки и леггинсы женские,Спортивные брюки женские,Спортивные брюки женские Adidas",синий,Удобные брюки в спортивном стиле. Облегающие зауженные штанины с манжетами подчеркивают линию ног. Дизайн вдохновлен винтажной уличной модой.,женский,https://main-cdn.sbermegamarket.ru/big2/hlr-system/-14/497/132/589/241/619/100029384221b0.jpg,yes,Спортивные брюки женские Adidas GL1381 синие XS,4552,0,SportPoint,100029384221,0,https://sbermegamarket.ru/catalog/details/sportivnye-bryuki-zhenskie-adidas-gl1381-sinie-xs-100029384221/
